id_funcionario,idade,faixa_etaria,genero,estado_civil,departamento,cargo,nivel_cargo,nivel_cargo_cod,area_formacao,nivel_educacao,renda_mensal,faixa_renda,taxa_diaria,taxa_horaria,perc_aumento_salarial,nivel_stock_option,anos_empresa,anos_cargo_atual,anos_desde_ultima_promocao,anos_mesmo_gestor,anos_experiencia_total,qtd_empresas_anteriores,horas_extras,frequencia_viagem,distancia_casa_km,treinamentos_ultimo_ano,perc_carreira_empresa,media_anos_por_empresa_anterior,indice_estagnacao_cargo,custo_reposicao_est,score_risco,nivel_risco,flag_horas_extras,flag_sem_promocao_3a,flag_distancia_alta,flag_satisfacao_baixa,flag_renda_abaixo_mediana,attrition
14,35,26–35,Masculino,Casado(a),Research & Development,Laboratory Technician,Júnior,1,Medical,Graduação,2426,Q1 — Baixa,809,84,13,1,5,4,0,3,6,0,0,Viaja Raramente,16,5,0.8333,,0.8,14556,3,Médio,0,0,1,1,1,0
15,29,26–35,Feminino,Solteiro(a),Research & Development,Laboratory Technician,Pleno,2,Life Sciences,Técnico,4193,Q2 — Média-Baixa,153,49,12,0,9,5,0,8,10,0,1,Viaja Raramente,15,3,0.9,,0.5556,37737,2,Médio,1,0,0,0,1,0
16,31,26–35,Masculino,Divorciado(a),Research & Development,Research Scientist,Júnior,1,Life Sciences,Ensino Médio,2911,Q1 — Baixa,670,31,17,1,5,2,4,3,5,1,0,Viaja Raramente,26,1,1.0,0.0,0.4,17466,3,Médio,0,1,1,0,1,0
18,34,26–35,Masculino,Divorciado(a),Research & Development,Laboratory Technician,Júnior,1,Medical,Técnico,2661,Q1 — Baixa,1346,93,11,1,2,2,1,2,3,0,0,Viaja Raramente,19,2,0.6667,,1.0,15966,2,Médio,0,0,1,0,1,0
19,28,26–35,Masculino,Solteiro(a),Research & Development,Laboratory Technician,Júnior,1,Life Sciences,Graduação,2028,Q1 — Baixa,103,50,14,0,4,2,0,3,6,5,1,Viaja Raramente,24,4,0.6667,0.4,0.5,12168,3,Médio,1,0,1,0,1,1
20,29,26–35,Feminino,Divorciado(a),Research & Development,Manufacturing Director,Sênior,3,Life Sciences,Mestrado,9980,Q4 — Alta,1389,51,11,1,10,9,8,8,10,1,0,Viaja Raramente,21,1,1.0,0.0,0.9,119760,3,Médio,0,1,1,1,0,0
21,32,26–35,Masculino,Divorciado(a),Research & Development,Research Scientist,Júnior,1,Life Sciences,Técnico,3298,Q2 — Média-Baixa,334,80,12,2,6,2,0,5,7,0,1,Viaja Raramente,5,5,0.8571,,0.3333,19788,3,Médio,1,0,0,1,1,0
22,22,18–25,Masculino,Divorciado(a),Research & Development,Laboratory Technician,Júnior,1,Medical,Técnico,2935,Q2 — Média-Baixa,1123,96,13,2,1,0,0,0,1,1,1,Sem Viagem,16,2,1.0,0.0,0.0,17610,3,Médio,1,0,1,0,1,0
23,53,46–55,Feminino,Casado(a),Sales,Manager,Especialista,4,Life Sciences,Mestrado,15427,Q4 — Alta,1219,78,16,0,25,8,3,7,31,2,0,Viaja Raramente,2,3,0.8065,3.0,0.32,277686,1,Baixo,0,1,0,0,0,0
24,38,36–45,Masculino,Solteiro(a),Research & Development,Research Scientist,Júnior,1,Life Sciences,Graduação,3944,Q2 — Média-Baixa,371,45,11,0,3,2,1,2,6,5,1,Viaja Raramente,2,3,0.5,0.6,0.6667,23664,2,Médio,1,0,0,0,1,0
26,24,18–25,Feminino,Divorciado(a),Research & Development,Manufacturing Director,Pleno,2,Other,Técnico,4011,Q2 — Média-Baixa,673,96,18,1,4,2,1,3,5,0,0,Sem Viagem,11,5,0.8,,0.5,36099,1,Baixo,0,0,0,0,1,0
27,36,36–45,Masculino,Solteiro(a),Sales,Sales Representative,Júnior,1,Life Sciences,Mestrado,3407,Q2 — Média-Baixa,1218,82,23,0,5,3,0,3,10,7,0,Viaja Raramente,9,4,0.5,0.71,0.6,20442,2,Médio,0,0,0,1,1,1
28,34,26–35,Feminino,Solteiro(a),Research & Development,Research Director,Sênior,3,Life Sciences,Mestrado,11994,Q4 — Alta,419,53,11,0,12,6,2,11,13,0,0,Viaja Raramente,7,4,0.9231,,0.5,143928,1,Baixo,0,0,0,1,0,0
30,21,18–25,Masculino,Solteiro(a),Research & Development,Research Scientist,Júnior,1,Life Sciences,Técnico,1232,Q1 — Baixa,391,96,14,0,0,0,0,0,0,1,0,Viaja Raramente,15,6,,0.0,,7392,1,Baixo,0,0,0,0,1,0
31,34,26–35,Masculino,Solteiro(a),Research & Development,Research Scientist,Júnior,1,Medical,Ensino Médio,2960,Q2 — Média-Baixa,699,83,11,0,4,2,1,3,8,2,0,Viaja Raramente,6,2,0.5,2.0,0.5,17760,2,Médio,0,0,0,1,1,1
32,53,46–55,Feminino,Divorciado(a),Research & Development,Manager,Diretor,5,Other,Graduação,19094,Q4 — Alta,1282,58,11,1,14,13,4,8,26,4,0,Viaja Raramente,5,3,0.5385,3.0,0.9286,458256,1,Baixo,0,1,0,0,0,0
33,32,26–35,Feminino,Solteiro(a),Research & Development,Research Scientist,Júnior,1,Life Sciences,Ensino Médio,3919,Q2 — Média-Baixa,1125,72,22,0,10,2,6,7,10,1,1,Viaja Frequentemente,16,5,1.0,0.0,0.2,23514,5,Alto,1,1,1,1,1,1
35,42,36–45,Masculino,Casado(a),Sales,Sales Executive,Pleno,2,Marketing,Mestrado,6825,Q3 — Média-Alta,691,48,11,1,9,7,4,2,10,0,0,Viaja Raramente,8,2,0.9,,0.7778,61425,2,Médio,0,1,0,1,0,0
36,44,36–45,Feminino,Casado(a),Research & Development,Healthcare Representative,Sênior,3,Medical,Mestrado,10248,Q4 — Alta,477,42,14,1,22,6,5,17,24,3,0,Viaja Raramente,7,4,0.9167,0.67,0.2727,122976,1,Baixo,0,1,0,0,0,0
38,46,46–55,Feminino,Solteiro(a),Sales,Manager,Diretor,5,Marketing,Mestrado,18947,Q4 — Alta,705,83,12,0,2,2,2,1,22,3,0,Viaja Raramente,2,2,0.0909,6.67,1.0,454728,1,Baixo,0,0,0,1,0,0
39,33,26–35,Masculino,Solteiro(a),Research & Development,Laboratory Technician,Júnior,1,Medical,Graduação,2496,Q1 — Baixa,924,78,11,0,1,1,0,0,7,4,0,Viaja Raramente,2,3,0.1429,1.5,1.0,14976,1,Baixo,0,0,0,0,1,0
40,44,36–45,Masculino,Casado(a),Research & Development,Healthcare Representative,Pleno,2,Other,Mestrado,6465,Q3 — Média-Alta,1459,41,13,0,4,2,1,3,9,2,1,Viaja Raramente,10,5,0.4444,2.5,0.5,58185,1,Baixo,1,0,0,0,0,0
41,30,26–35,Masculino,Solteiro(a),Research & Development,Laboratory Technician,Júnior,1,Medical,Técnico,2206,Q1 — Baixa,125,83,13,0,10,0,1,8,10,1,0,Viaja Raramente,9,5,1.0,0.0,0.0,13236,1,Baixo,0,0,0,0,1,0
42,39,36–45,Masculino,Casado(a),Sales,Sales Representative,Pleno,2,Technical Degree,Graduação,2086,Q1 — Baixa,895,56,14,1,1,0,0,0,19,3,0,Viaja Raramente,5,6,0.0526,6.0,0.0,18774,1,Baixo,0,0,0,0,1,1
45,24,18–25,Masculino,Casado(a),Research & Development,Research Scientist,Júnior,1,Medical,Graduação,2293,Q1 — Baixa,813,61,16,1,2,0,2,0,6,2,1,Viaja Raramente,1,2,0.3333,2.0,0.0,13758,2,Médio,1,0,0,0,1,1
46,43,36–45,Feminino,Divorciado(a),Research & Development,Research Scientist,Júnior,1,Medical,Técnico,2645,Q1 — Baixa,1273,72,12,2,5,3,1,4,6,1,0,Viaja Raramente,2,3,0.8333,1.0,0.6,15870,1,Baixo,0,0,0,0,1,0
47,50,46–55,Masculino,Casado(a),Sales,Sales Representative,Júnior,1,Marketing,Técnico,2683,Q1 — Baixa,869,86,14,0,3,2,0,2,3,1,1,Viaja Raramente,3,2,1.0,0.0,0.6667,16098,2,Médio,1,0,0,0,1,1
49,35,26–35,Feminino,Casado(a),Sales,Sales Representative,Júnior,1,Marketing,Graduação,2014,Q1 — Baixa,890,97,13,0,2,2,2,2,2,1,0,Viaja Raramente,2,3,1.0,0.0,1.0,12084,1,Baixo,0,0,0,0,1,0
51,36,36–45,Feminino,Casado(a),Research & Development,Research Scientist,Júnior,1,Life Sciences,Mestrado,3419,Q2 — Média-Baixa,852,82,14,1,1,1,0,0,6,9,1,Viaja Raramente,5,3,0.1667,0.56,1.0,20514,3,Médio,1,0,0,1,1,0
52,33,26–35,Feminino,Casado(a),Sales,Sales Executive,Pleno,2,Life Sciences,Graduação,5376,Q3 — Média-Alta,1141,42,19,2,5,3,1,3,10,2,0,Viaja Frequentemente,1,3,0.5,2.5,0.6,48384,1,Baixo,0,0,0,1,0,0
53,35,26–35,Masculino,Divorciado(a),Research & Development,Laboratory Technician,Júnior,1,Other,Técnico,1951,Q1 — Baixa,464,75,12,1,1,0,0,0,1,1,0,Viaja Raramente,4,3,1.0,0.0,0.0,11706,1,Baixo,0,0,0,0,1,0
54,27,26–35,Feminino,Divorciado(a),Research & Development,Laboratory Technician,Júnior,1,Life Sciences,Mestrado,2341,Q1 — Baixa,1240,33,13,1,1,0,0,0,1,1,0,Viaja Raramente,2,6,1.0,0.0,0.0,14046,2,Médio,0,0,0,1,1,0
55,26,26–35,Masculino,Solteiro(a),Research & Development,Laboratory Technician,Júnior,1,Life Sciences,Graduação,2293,Q1 — Baixa,1357,48,12,0,1,0,0,1,1,1,0,Viaja Raramente,25,2,1.0,0.0,0.0,13758,2,Médio,0,0,1,0,1,1
56,27,26–35,Masculino,Solteiro(a),Sales,Sales Executive,Sênior,3,Life Sciences,Graduação,8726,Q4 — Alta,994,37,15,0,9,8,1,7,9,1,0,Viaja Frequentemente,8,0,1.0,0.0,0.8889,104712,0,Baixo,0,0,0,0,0,0
57,30,26–35,Feminino,Solteiro(a),Research & Development,Laboratory Technician,Pleno,2,Medical,Técnico,4011,Q2 — Média-Baixa,721,58,23,0,12,8,3,7,12,1,0,Viaja Frequentemente,1,2,1.0,0.0,0.6667,36099,2,Médio,0,1,0,0,1,0
58,41,36–45,Feminino,Casado(a),Research & Development,Research Director,Diretor,5,Technical Degree,Graduação,19545,Q4 — Alta,1360,49,12,0,22,15,15,8,23,1,0,Viaja Raramente,12,0,0.9565,1.0,0.6818,469080,1,Baixo,0,1,0,0,0,1
60,34,26–35,Masculino,Solteiro(a),Sales,Sales Executive,Pleno,2,Marketing,Mestrado,4568,Q2 — Média-Baixa,1065,72,20,0,9,5,8,7,10,0,0,Sem Viagem,23,2,0.9,,0.5556,41112,3,Médio,0,1,1,0,1,0
61,37,36–45,Masculino,Casado(a),Research & Development,Research Scientist,Júnior,1,Life Sciences,Técnico,3022,Q2 — Média-Baixa,408,73,21,0,1,0,0,0,8,4,0,Viaja Raramente,19,1,0.125,1.75,0.0,18132,3,Médio,0,0,1,1,1,0
62,46,46–55,Masculino,Solteiro(a),Sales,Sales Executive,Pleno,2,Marketing,Mestrado,5772,Q3 — Média-Alta,1211,98,21,0,9,6,0,8,14,4,1,Viaja Frequentemente,5,4,0.6429,1.25,0.6667,51948,1,Baixo,1,0,0,0,0,0
63,35,26–35,Masculino,Casado(a),Research & Development,Laboratory Technician,Júnior,1,Life Sciences,Ensino Médio,2269,Q1 — Baixa,1229,36,19,0,1,0,0,1,1,1,0,Viaja Raramente,8,2,1.0,0.0,0.0,13614,1,Baixo,0,0,0,0,1,0
64,48,46–55,Masculino,Solteiro(a),Research & Development,Laboratory Technician,Sênior,3,Life Sciences,Técnico,5381,Q3 — Média-Alta,626,98,13,0,1,0,0,0,23,9,1,Viaja Raramente,1,2,0.0435,2.44,0.0,64572,1,Baixo,1,0,0,0,0,1
65,28,26–35,Masculino,Solteiro(a),Research & Development,Laboratory Technician,Júnior,1,Technical Degree,Mestrado,3441,Q2 — Média-Baixa,1434,50,13,0,2,2,2,2,2,1,1,Viaja Raramente,5,3,1.0,0.0,1.0,20646,2,Médio,1,0,0,0,1,1
68,44,36–45,Feminino,Divorciado(a),Sales,Sales Executive,Pleno,2,Marketing,Doutorado,5454,Q3 — Média-Alta,1488,75,21,1,4,3,1,3,9,5,1,Viaja Raramente,1,2,0.4444,1.0,0.75,49086,2,Médio,1,0,0,1,0,0
70,35,26–35,Masculino,Casado(a),Research & Development,Healthcare Representative,Sênior,3,Medical,Técnico,9884,Q4 — Alta,1097,79,13,1,4,0,2,3,10,2,1,Sem Viagem,11,3,0.4,3.0,0.0,118608,2,Médio,1,0,0,1,0,0
72,26,26–35,Feminino,Casado(a),Sales,Sales Executive,Pleno,2,Marketing,Graduação,4157,Q2 — Média-Baixa,1443,47,19,1,2,2,0,0,5,7,1,Viaja Raramente,23,2,0.4,0.43,1.0,37413,3,Médio,1,0,1,0,1,0
73,33,26–35,Feminino,Solteiro(a),Research & Development,Research Director,Sênior,3,Life Sciences,Técnico,13458,Q4 — Alta,515,98,12,0,15,14,8,12,15,1,1,Viaja Frequentemente,1,1,1.0,0.0,0.9333,161496,2,Médio,1,1,0,0,0,0
74,35,26–35,Masculino,Casado(a),Sales,Sales Executive,Sênior,3,Life Sciences,Doutorado,9069,Q4 — Alta,853,71,22,1,9,8,1,8,9,1,0,Viaja Frequentemente,18,3,1.0,0.0,0.8889,108828,2,Médio,0,0,1,1,0,0
75,35,26–35,Feminino,Casado(a),Research & Development,Laboratory Technician,Júnior,1,Medical,Mestrado,4014,Q2 — Média-Baixa,1142,30,15,1,2,2,2,2,4,3,1,Viaja Raramente,23,3,0.5,0.67,1.0,24084,4,Alto,1,0,1,1,1,0
76,31,26–35,Masculino,Divorciado(a),Research & Development,Laboratory Technician,Pleno,2,Life Sciences,Mestrado,5915,Q3 — Média-Alta,655,48,22,1,7,7,1,7,10,3,0,Viaja Raramente,7,3,0.7,1.0,1.0,53235,0,Baixo,0,0,0,0,0,0
77,37,36–45,Masculino,Divorciado(a),Research & Development,Manufacturing Director,Pleno,2,Life Sciences,Mestrado,5993,Q3 — Média-Alta,1115,51,18,1,7,5,0,7,7,1,0,Viaja Raramente,1,2,1.0,0.0,0.7143,53937,0,Baixo,0,0,0,0,0,0
78,32,26–35,Masculino,Casado(a),Research & Development,Manufacturing Director,Pleno,2,Medical,Graduação,6162,Q3 — Média-Alta,427,33,22,1,9,8,7,8,9,1,1,Viaja Raramente,1,3,1.0,0.0,0.8889,55458,2,Médio,1,1,0,0,0,0
79,38,36–45,Feminino,Solteiro(a),Research & Development,Laboratory Technician,Pleno,2,Life Sciences,Doutorado,2406,Q1 — Baixa,653,50,11,0,10,3,9,9,10,1,0,Viaja Frequentemente,29,2,1.0,0.0,0.3,21654,3,Médio,0,1,1,0,1,0
80,50,46–55,Feminino,Divorciado(a),Research & Development,Research Director,Diretor,5,Medical,Técnico,18740,Q4 — Alta,989,43,12,1,27,3,13,8,29,5,1,Viaja Raramente,7,2,0.931,0.4,0.1111,449760,2,Médio,1,1,0,0,0,0
81,59,55+,Feminino,Solteiro(a),Sales,Sales Executive,Sênior,3,Life Sciences,Graduação,7637,Q3 — Média-Alta,1435,99,11,0,21,16,7,9,28,7,0,Viaja Raramente,25,3,0.75,1.0,0.7619,91644,3,Médio,0,1,1,1,0,0
83,36,36–45,Feminino,Divorciado(a),Research & Development,Healthcare Representative,Sênior,3,Technical Degree,Graduação,10096,Q4 — Alta,1223,59,13,3,17,14,12,8,17,1,0,Viaja Raramente,8,2,1.0,0.0,0.8235,121152,1,Baixo,0,1,0,0,0,0
84,55,46–55,Feminino,Divorciado(a),Research & Development,Manager,Especialista,4,Medical,Graduação,14756,Q4 — Alta,836,33,14,3,5,0,0,2,21,2,1,Viaja Raramente,8,2,0.2381,8.0,0.0,265608,1,Baixo,1,0,0,0,0,0
85,36,36–45,Masculino,Solteiro(a),Research & Development,Manufacturing Director,Pleno,2,Life Sciences,Graduação,6499,Q3 — Média-Alta,1195,95,13,0,6,5,0,3,6,1,0,Viaja Frequentemente,11,3,1.0,0.0,0.8333,58491,1,Baixo,0,0,0,1,0,0
86,45,36–45,Masculino,Divorciado(a),Research & Development,Research Scientist,Sênior,3,Life Sciences,Graduação,9724,Q4 — Alta,1339,59,17,1,1,0,0,0,25,2,0,Viaja Raramente,7,2,0.04,12.0,0.0,116688,1,Baixo,0,0,0,1,0,0
88,35,26–35,Masculino,Casado(a),Research & Development,Research Scientist,Júnior,1,Medical,Graduação,2194,Q1 — Baixa,664,79,13,1,3,2,1,2,5,4,0,Viaja Frequentemente,1,2,0.6,0.5,0.6667,13164,2,Médio,0,0,0,1,1,0
90,36,36–45,Masculino,Casado(a),Research & Development,Research Scientist,Júnior,1,Medical,Graduação,3388,Q2 — Média-Baixa,318,79,17,1,1,0,0,0,2,0,1,Viaja Raramente,9,0,0.5,,0.0,20328,2,Médio,1,0,0,0,1,1
91,59,55+,Feminino,Solteiro(a),Sales,Sales Executive,Pleno,2,Life Sciences,Ensino Médio,5473,Q3 — Média-Alta,1225,57,11,0,4,3,1,3,20,7,0,Viaja Frequentemente,1,2,0.2,2.29,0.75,49257,0,Baixo,0,0,0,0,0,0
94,29,26–35,Masculino,Casado(a),Research & Development,Research Scientist,Júnior,1,Life Sciences,Graduação,2703,Q1 — Baixa,1328,76,23,1,5,4,0,4,6,0,0,Viaja Raramente,2,3,0.8333,,0.8,16218,2,Médio,0,0,0,1,1,0
95,31,26–35,Masculino,Solteiro(a),Research & Development,Research Scientist,Júnior,1,Medical,Mestrado,2501,Q1 — Baixa,1082,87,17,0,1,1,1,0,1,1,0,Viaja Raramente,1,4,1.0,0.0,1.0,15006,2,Médio,0,0,0,1,1,0
96,32,26–35,Masculino,Casado(a),Research & Development,Research Scientist,Pleno,2,Life Sciences,Graduação,6220,Q3 — Média-Alta,548,66,17,2,10,4,0,9,10,1,0,Viaja Raramente,1,3,1.0,0.0,0.4,55980,1,Baixo,0,0,0,1,0,0
97,36,36–45,Feminino,Casado(a),Research & Development,Laboratory Technician,Júnior,1,Life Sciences,Graduação,3038,Q2 — Média-Baixa,132,55,12,0,1,0,0,0,5,3,0,Viaja Raramente,6,3,0.2,1.33,0.0,18228,1,Baixo,0,0,0,0,1,0
98,31,26–35,Feminino,Solteiro(a),Research & Development,Manufacturing Director,Pleno,2,Life Sciences,Mestrado,4424,Q2 — Média-Baixa,746,61,23,0,11,7,1,8,11,1,0,Viaja Raramente,8,2,1.0,0.0,0.6364,39816,1,Baixo,0,0,0,0,1,0
100,35,26–35,Masculino,Solteiro(a),Sales,Sales Executive,Pleno,2,Marketing,Mestrado,4312,Q2 — Média-Baixa,776,32,14,0,15,13,2,8,16,0,0,Viaja Raramente,1,2,0.9375,,0.8667,38808,2,Médio,0,0,0,1,1,0
101,45,36–45,Masculino,Casado(a),Research & Development,Research Director,Sênior,3,Other,Mestrado,13245,Q4 — Alta,193,52,14,0,0,0,0,0,17,4,1,Viaja Raramente,6,3,0.0,4.25,,158940,2,Médio,1,0,0,1,0,0
102,37,36–45,Masculino,Solteiro(a),Research & Development,Research Director,Sênior,3,Medical,Mestrado,13664,Q4 — Alta,397,30,13,0,5,2,0,2,16,4,0,Viaja Raramente,7,3,0.3125,2.75,0.4,163968,0,Baixo,0,0,0,0,0,0
103,46,46–55,Masculino,Divorciado(a),Human Resources,Human Resources,Pleno,2,Medical,Técnico,5021,Q3 — Média-Alta,945,80,22,1,4,2,0,2,16,8,1,Viaja Raramente,5,2,0.25,1.5,0.5,45189,2,Médio,1,0,0,1,0,0
104,30,26–35,Masculino,Casado(a),Research & Development,Laboratory Technician,Pleno,2,Life Sciences,Ensino Médio,5126,Q3 — Média-Alta,852,55,12,2,10,8,3,0,10,1,1,Viaja Raramente,1,1,1.0,0.0,0.8,46134,2,Médio,1,1,0,0,0,0
105,35,26–35,Masculino,Solteiro(a),Research & Development,Research Scientist,Júnior,1,Medical,Graduação,2859,Q1 — Baixa,1214,30,18,0,6,4,0,4,6,1,0,Viaja Raramente,1,3,1.0,0.0,0.6667,17154,1,Baixo,0,0,0,0,1,0
106,55,46–55,Masculino,Casado(a),Sales,Sales Executive,Sênior,3,Life Sciences,Técnico,10239,Q4 — Alta,111,70,14,1,1,0,1,0,24,3,0,Viaja Raramente,1,4,0.0417,7.67,0.0,122868,0,Baixo,0,0,0,0,0,0
107,38,36–45,Feminino,Divorciado(a),Research & Development,Research Scientist,Pleno,2,Medical,Graduação,5329,Q3 — Média-Alta,573,79,12,3,13,11,1,9,17,7,1,Sem Viagem,6,3,0.7647,0.57,0.8462,47961,1,Baixo,1,0,0,0,0,0
110,34,26–35,Masculino,Casado(a),Research & Development,Manufacturing Director,Pleno,2,Medical,Técnico,4325,Q2 — Média-Baixa,1153,94,15,0,5,2,1,3,5,1,0,Viaja Raramente,1,2,1.0,0.0,0.4,38925,2,Médio,0,0,0,1,1,0
112,56,55+,Masculino,Solteiro(a),Research & Development,Manufacturing Director,Sênior,3,Life Sciences,Graduação,7260,Q3 — Média-Alta,1400,49,11,0,6,4,0,2,37,4,0,Viaja Raramente,7,3,0.1622,7.75,0.6667,87120,0,Baixo,0,0,0,0,0,0
113,23,18–25,Masculino,Divorciado(a),Sales,Sales Representative,Júnior,1,Technical Degree,Ensino Médio,2322,Q1 — Baixa,541,62,13,1,0,0,0,0,3,3,0,Viaja Raramente,2,3,0.0,1.0,,13932,2,Médio,0,0,0,1,1,0
116,51,46–55,Masculino,Casado(a),Research & Development,Laboratory Technician,Júnior,1,Life Sciences,Mestrado,2075,Q1 — Baixa,432,96,23,2,4,2,0,3,10,3,0,Viaja Raramente,9,4,0.4,2.0,0.5,12450,1,Baixo,0,0,0,0,1,0
117,30,26–35,Masculino,Casado(a),Research & Development,Healthcare Representative,Pleno,2,Life Sciences,Graduação,4152,Q2 — Média-Baixa,288,99,19,3,11,10,10,8,11,1,0,Viaja Raramente,2,3,1.0,0.0,0.9091,37368,2,Médio,0,1,0,0,1,0
118,46,46–55,Masculino,Solteiro(a),Sales,Sales Executive,Sênior,3,Medical,Técnico,9619,Q4 — Alta,669,64,16,0,9,8,4,7,9,1,0,Viaja Raramente,9,3,1.0,0.0,0.8889,115428,1,Baixo,0,1,0,0,0,1
119,40,36–45,Masculino,Casado(a),Research & Development,Healthcare Representative,Especialista,4,Life Sciences,Mestrado,13503,Q4 — Alta,530,78,22,1,22,3,11,11,22,1,0,Viaja Frequentemente,1,3,1.0,0.0,0.1364,243054,2,Médio,0,1,0,1,0,0
120,51,46–55,Masculino,Solteiro(a),Sales,Sales Executive,Pleno,2,Marketing,Mestrado,5441,Q3 — Média-Alta,632,71,22,0,10,7,1,0,11,0,1,Viaja Raramente,21,2,0.9091,,0.7,48969,2,Médio,1,0,1,0,0,0
121,30,26–35,Feminino,Divorciado(a),Sales,Sales Executive,Pleno,2,Medical,Técnico,5209,Q3 — Média-Alta,1334,63,12,3,11,8,2,7,11,1,1,Viaja Raramente,4,4,1.0,0.0,0.7273,46881,2,Médio,1,0,0,1,0,0
124,46,46–55,Masculino,Casado(a),Research & Development,Healthcare Representative,Sênior,3,Medical,Graduação,10673,Q4 — Alta,638,40,13,1,10,9,9,5,21,2,1,Viaja Frequentemente,1,5,0.4762,5.5,0.9,128076,3,Médio,1,1,0,1,0,0
125,32,26–35,Masculino,Solteiro(a),Sales,Sales Executive,Pleno,2,Medical,Mestrado,5010,Q3 — Média-Alta,1093,87,16,0,11,8,5,7,12,1,0,Viaja Raramente,6,0,0.9167,1.0,0.7273,45090,1,Baixo,0,1,0,0,0,0
126,54,46–55,Feminino,Casado(a),Research & Development,Research Director,Sênior,3,Technical Degree,Mestrado,13549,Q4 — Alta,1217,60,12,1,4,3,0,3,16,9,0,Viaja Raramente,2,5,0.25,1.33,0.75,162588,0,Baixo,0,0,0,0,0,0
128,24,18–25,Feminino,Casado(a),Sales,Sales Executive,Pleno,2,Other,Técnico,4999,Q3 — Média-Alta,1353,33,21,1,3,2,0,2,4,0,0,Viaja Raramente,3,2,0.75,,0.6667,44991,0,Baixo,0,0,0,0,0,0
129,28,26–35,Masculino,Casado(a),Sales,Sales Executive,Pleno,2,Medical,Graduação,4221,Q2 — Média-Baixa,120,43,15,0,5,4,0,4,5,1,0,Sem Viagem,4,3,1.0,0.0,0.8,37989,1,Baixo,0,0,0,0,1,0
