id_funcionario,idade,genero,estado_civil,departamento,cargo,nivel_cargo,nivel_cargo_cod,area_formacao,nivel_educacao,renda_mensal,taxa_diaria,taxa_horaria,perc_aumento_salarial,nivel_stock_option,anos_empresa,anos_cargo_atual,anos_desde_ultima_promocao,anos_mesmo_gestor,anos_experiencia_total,qtd_empresas_anteriores,horas_extras,frequencia_viagem,distancia_casa_km,treinamentos_ultimo_ano,perc_carreira_empresa,media_anos_por_empresa_anterior,indice_estagnacao_cargo,custo_reposicao_est,score_risco,flag_horas_extras,flag_sem_promocao_3a,flag_distancia_alta,flag_satisfacao_baixa,flag_renda_abaixo_mediana,attrition,taxa_diaria_brl,renda_mensal_brl,score_bemestar,prob_attrition,nivel_risco_ml,shap_top1_feat,shap_top2_feat,shap_top3_feat,shap_top1_val,shap_top2_val,shap_top3_val,acao_recomendada
53,35,Masculino,Divorciado(a),Research & Development,Laboratory Technician,Júnior,1,Other,Técnico,1951,464,75,12,1,1,0,0,0,1,1,0,Viaja Raramente,4,3,1.0,0.0,0.0,11706,1,0,0,0,0,1,0,2668.0,11218.25,3.2,0.2281,Alto,anos_mesmo_gestor,anos_experiencia_total,renda_mensal_brl,0.0416,0.0379,0.0338,Conversa de retenção personalizada
54,27,Feminino,Divorciado(a),Research & Development,Laboratory Technician,Júnior,1,Life Sciences,Mestrado,2341,1240,33,13,1,1,0,0,0,1,1,0,Viaja Raramente,2,6,1.0,0.0,0.0,14046,2,0,0,0,1,1,0,7130.0,13460.75,3.0,0.3949,Crítico,anos_mesmo_gestor,anos_experiencia_total,renda_mensal_brl,0.0475,0.0445,0.0406,Conversa de retenção personalizada
55,26,Masculino,Solteiro(a),Research & Development,Laboratory Technician,Júnior,1,Life Sciences,Graduação,2293,1357,48,12,0,1,0,0,1,1,1,0,Viaja Raramente,25,2,1.0,0.0,0.0,13758,2,0,0,1,0,1,1,7802.75,13184.75,2.0,0.9519,Crítico,nivel_stock_option,faixa_etaria,anos_empresa,0.069,0.0469,0.0422,Revisar benefícios e stock options
56,27,Masculino,Solteiro(a),Sales,Sales Executive,Sênior,3,Life Sciences,Graduação,8726,994,37,15,0,9,8,1,7,9,1,0,Viaja Frequentemente,8,0,1.0,0.0,0.8889,104712,0,0,0,0,0,0,0,5715.5,50174.5,3.4,0.0908,Baixo,nivel_stock_option,treinamentos_ultimo_ano,faixa_etaria,0.0457,0.018,0.0158,Revisar benefícios e stock options
57,30,Feminino,Solteiro(a),Research & Development,Laboratory Technician,Pleno,2,Medical,Técnico,4011,721,58,23,0,12,8,3,7,12,1,0,Viaja Frequentemente,1,2,1.0,0.0,0.6667,36099,2,0,1,0,0,1,0,4145.75,23063.25,3.4,0.0648,Baixo,nivel_stock_option,faixa_etaria,frequencia_viagem,0.0394,0.015,0.0148,Revisar benefícios e stock options
58,41,Feminino,Casado(a),Research & Development,Research Director,Diretor,5,Technical Degree,Graduação,19545,1360,49,12,0,22,15,15,8,23,1,0,Viaja Raramente,12,0,0.9565,1.0,0.6818,469080,1,0,1,0,0,0,1,7820.0,112383.75,3.0,0.2409,Alto,nivel_stock_option,satisfacao_ambiente_cod,treinamentos_ultimo_ano,0.0567,0.0213,0.0192,Revisar benefícios e stock options
60,34,Masculino,Solteiro(a),Sales,Sales Executive,Pleno,2,Marketing,Mestrado,4568,1065,72,20,0,9,5,8,7,10,0,0,Sem Viagem,23,2,0.9,,0.5556,41112,3,0,1,1,0,1,0,6123.75,26266.0,2.8,0.1896,Alto,nivel_stock_option,faixa_etaria,satisfacao_ambiente_cod,0.0576,0.0253,0.0182,Revisar benefícios e stock options
61,37,Masculino,Casado(a),Research & Development,Research Scientist,Júnior,1,Life Sciences,Técnico,3022,408,73,21,0,1,0,0,0,8,4,0,Viaja Raramente,19,1,0.125,1.75,0.0,18132,3,0,0,1,1,1,0,2346.0,17376.5,2.2,0.3927,Crítico,nivel_stock_option,score_bemestar,satisfacao_trabalho_cod,0.0778,0.0454,0.0263,Revisar benefícios e stock options
62,46,Masculino,Solteiro(a),Sales,Sales Executive,Pleno,2,Marketing,Mestrado,5772,1211,98,21,0,9,6,0,8,14,4,1,Viaja Frequentemente,5,4,0.6429,1.25,0.6667,51948,1,1,0,0,0,0,0,6963.25,33189.0,2.8,0.1427,Médio,nivel_stock_option,satisfacao_ambiente_cod,frequencia_viagem,0.0482,0.029,0.0201,Revisar benefícios e stock options
63,35,Masculino,Casado(a),Research & Development,Laboratory Technician,Júnior,1,Life Sciences,Ensino Médio,2269,1229,36,19,0,1,0,0,1,1,1,0,Viaja Raramente,8,2,1.0,0.0,0.0,13614,1,0,0,0,0,1,0,7066.75,13046.75,3.8,0.2473,Alto,nivel_stock_option,anos_experiencia_total,anos_mesmo_gestor,0.0481,0.038,0.0299,Revisar benefícios e stock options
64,48,Masculino,Solteiro(a),Research & Development,Laboratory Technician,Sênior,3,Life Sciences,Técnico,5381,626,98,13,0,1,0,0,0,23,9,1,Viaja Raramente,1,2,0.0435,2.44,0.0,64572,1,1,0,0,0,0,1,3599.5,30940.75,2.6,0.5907,Crítico,envolvimento_trabalho_cod,nivel_stock_option,satisfacao_ambiente_cod,0.0608,0.0578,0.0434,Aumentar desafios / responsabilidades
65,28,Masculino,Solteiro(a),Research & Development,Laboratory Technician,Júnior,1,Technical Degree,Mestrado,3441,1434,50,13,0,2,2,2,2,2,1,1,Viaja Raramente,5,3,1.0,0.0,1.0,20646,2,1,0,0,0,1,1,8245.5,19785.75,2.8,0.6877,Crítico,nivel_stock_option,equilibrio_vida_trabalho_cod,faixa_etaria,0.0793,0.0495,0.046,Revisar benefícios e stock options
68,44,Feminino,Divorciado(a),Sales,Sales Executive,Pleno,2,Marketing,Doutorado,5454,1488,75,21,1,4,3,1,3,9,5,1,Viaja Raramente,1,2,0.4444,1.0,0.75,49086,2,1,0,0,1,0,0,8556.0,31360.5,2.2,0.2094,Alto,satisfacao_trabalho_cod,score_bemestar,satisfacao_ambiente_cod,0.0255,0.0219,0.0196,Conversa 1:1 sobre satisfação no trabalho
70,35,Masculino,Casado(a),Research & Development,Healthcare Representative,Sênior,3,Medical,Técnico,9884,1097,79,13,1,4,0,2,3,10,2,1,Sem Viagem,11,3,0.4,3.0,0.0,118608,2,1,0,0,1,0,0,6307.75,56833.0,2.4,0.4049,Crítico,faixa_etaria,score_bemestar,satisfacao_trabalho_cod,0.048,0.047,0.0254,Conversa de retenção personalizada
72,26,Feminino,Casado(a),Sales,Sales Executive,Pleno,2,Marketing,Graduação,4157,1443,47,19,1,2,2,0,0,5,7,1,Viaja Raramente,23,2,0.4,0.43,1.0,37413,3,1,0,1,0,1,0,8297.25,23902.75,2.8,0.2479,Alto,faixa_etaria,equilibrio_vida_trabalho_cod,anos_mesmo_gestor,0.0311,0.0303,0.0249,Conversa de retenção personalizada
73,33,Feminino,Solteiro(a),Research & Development,Research Director,Sênior,3,Life Sciences,Técnico,13458,515,98,12,0,15,14,8,12,15,1,1,Viaja Frequentemente,1,1,1.0,0.0,0.9333,161496,2,1,1,0,0,0,0,2961.25,77383.5,2.8,0.1883,Alto,nivel_stock_option,satisfacao_ambiente_cod,frequencia_viagem,0.0496,0.0244,0.0177,Revisar benefícios e stock options
74,35,Masculino,Casado(a),Sales,Sales Executive,Sênior,3,Life Sciences,Doutorado,9069,853,71,22,1,9,8,1,8,9,1,0,Viaja Frequentemente,18,3,1.0,0.0,0.8889,108828,2,0,0,1,1,0,0,4904.75,52146.75,2.4,0.1427,Médio,score_bemestar,frequencia_viagem,faixa_etaria,0.0282,0.0214,0.0202,Programa de bem-estar e saúde mental
75,35,Feminino,Casado(a),Research & Development,Laboratory Technician,Júnior,1,Medical,Mestrado,4014,1142,30,15,1,2,2,2,2,4,3,1,Viaja Raramente,23,3,0.5,0.67,1.0,24084,4,1,0,1,1,1,0,6566.5,23080.5,2.6,0.2382,Alto,faixa_etaria,satisfacao_trabalho_cod,media_anos_por_empresa_anterior,0.0395,0.0248,0.0232,Conversa de retenção personalizada
76,31,Masculino,Divorciado(a),Research & Development,Laboratory Technician,Pleno,2,Life Sciences,Mestrado,5915,655,48,22,1,7,7,1,7,10,3,0,Viaja Raramente,7,3,0.7,1.0,1.0,53235,0,0,0,0,0,0,0,3766.25,34011.25,3.4,0.055,Baixo,equilibrio_vida_trabalho_cod,faixa_etaria,media_anos_por_empresa_anterior,0.0303,0.0162,0.0099,Revisar jornada e flexibilidade
77,37,Masculino,Divorciado(a),Research & Development,Manufacturing Director,Pleno,2,Life Sciences,Mestrado,5993,1115,51,18,1,7,5,0,7,7,1,0,Viaja Raramente,1,2,1.0,0.0,0.7143,53937,0,0,0,0,0,0,0,6411.25,34459.75,2.6,0.0647,Baixo,envolvimento_trabalho_cod,satisfacao_ambiente_cod,estado_civil,0.0322,0.0274,0.0072,Aumentar desafios / responsabilidades
78,32,Masculino,Casado(a),Research & Development,Manufacturing Director,Pleno,2,Medical,Graduação,6162,427,33,22,1,9,8,7,8,9,1,1,Viaja Raramente,1,3,1.0,0.0,0.8889,55458,2,1,1,0,0,0,0,2455.25,35431.5,2.6,0.0747,Baixo,satisfacao_ambiente_cod,faixa_etaria,flag_horas_extras,0.0237,0.016,0.0122,Avaliar condições e ambiente de trabalho
79,38,Feminino,Solteiro(a),Research & Development,Laboratory Technician,Pleno,2,Life Sciences,Doutorado,2406,653,50,11,0,10,3,9,9,10,1,0,Viaja Frequentemente,29,2,1.0,0.0,0.3,21654,3,0,1,1,0,1,0,3754.75,13834.5,3.6,0.1089,Baixo,nivel_stock_option,distancia_casa_km,frequencia_viagem,0.034,0.0142,0.0128,Revisar benefícios e stock options
80,50,Feminino,Divorciado(a),Research & Development,Research Director,Diretor,5,Medical,Técnico,18740,989,43,12,1,27,3,13,8,29,5,1,Viaja Raramente,7,2,0.931,0.4,0.1111,449760,2,1,1,0,0,0,0,5686.75,107755.0,2.6,0.1449,Médio,envolvimento_trabalho_cod,equilibrio_vida_trabalho_cod,media_anos_por_empresa_anterior,0.0263,0.0247,0.0187,Aumentar desafios / responsabilidades
81,59,Feminino,Solteiro(a),Sales,Sales Executive,Sênior,3,Life Sciences,Graduação,7637,1435,99,11,0,21,16,7,9,28,7,0,Viaja Raramente,25,3,0.75,1.0,0.7619,91644,3,0,1,1,1,0,0,8251.25,43912.75,2.2,0.2793,Alto,nivel_stock_option,equilibrio_vida_trabalho_cod,score_bemestar,0.0669,0.0377,0.0267,Revisar benefícios e stock options
83,36,Feminino,Divorciado(a),Research & Development,Healthcare Representative,Sênior,3,Technical Degree,Graduação,10096,1223,59,13,3,17,14,12,8,17,1,0,Viaja Raramente,8,2,1.0,0.0,0.8235,121152,1,0,1,0,0,0,0,7032.25,58052.0,2.8,0.0344,Baixo,anos_desde_ultima_promocao,satisfacao_relacionamento_cod,flag_satisfacao_baixa,0.0075,0.0059,0.0056,Agendar conversa de carreira / promoção
